idx,x,y,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1,1,0,0,1,1,2,2,1,1,1,0,0,1,1,2,2,2,3,3,4,5,4,5,5,4,3,3,3,2,2,1,1,0,0,1,1,2,2,1,1,0
0,81,1,6,6,7,7,8,8,7,7,7,6,6,7,7,8,8,8,9,9,10,11,10,11,11,10,9,9,9,8,8,7,7,6,6,7,7,8,8,7,7,6
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,1,1,1,2,2,2,1,1,1,1
180,81,1,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3,4,4,4,5,5,5,4,4,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,1,0,0,0,1,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,1,2,2,1,1,1,0,0,1,1,2,1,1
138,81,1,3,3,3,4,4,4,5,5,5,5,4,4,4,3,3,4,4,5,5,4,4,4,3,3,3,4,4,4,5,5,4,4,4,3,3,4,4,5,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,1,0,1,2,1,0,0,1,1,2,2,1,2,1,1,0,1,0,1,2,1,2,2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,2,2,1,0
72,81,1,3,4,5,4,3,3,4,4,5,5,4,5,4,4,3,4,3,4,5,4,5,5,4,3,3,4,5,4,3,3,4,5,4,3,3,4,5,5,4,3
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1,1,0,0,0,1,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,1,2,2,1,1,1,0,0,1,1,2,1,1
186,81,1,3,3,3,4,4,4,5,5,5,5,4,4,4,3,3,4,4,5,5,4,4,4,3,3,3,4,4,4,5,5,4,4,4,3,3,4,4,5,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,1,2,3,4,5,0,0,5,5,4,4,3,3,2,2,1,1,0,0,5,4,3,2,1,0,0,1
102,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,7,8,9,10,11,6,6,11,11,10,10,9,9,8,8,7,7,6,6,11,10,9,8,7,6,6,7
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1,1,0,0,1,1,2,2,1,1,0,0,1,1,2,2,3,4,5,5,4,5,0,0,1,1,2,2,1,1,0,0,1,1,2,2,3,4,5,5,4,5
156,81,1,6,6,7,7,8,8,7,7,6,6,7,7,8,8,9,10,11,11,10,11,6,6,7,7,8,8,7,7,6,6,7,7,8,8,9,10,11,11,10,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
24,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
12,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
60,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1,0,1,2,1,0,0,1,1,2,2,1,2,1,1,0,1,0,1,2,1,2,2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,2,2,1,0
120,81,1,3,4,5,4,3,3,4,4,5,5,4,5,4,4,3,4,3,4,5,4,5,5,4,3,3,4,5,4,3,3,4,5,4,3,3,4,5,5,4,3
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
78,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,1,0,0,0,1,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,1,2,2,1,1,1,0,0,1,1,2,1,1
114,81,1,3,3,3,4,4,4,5,5,5,5,4,4,4,3,3,4,4,5,5,4,4,4,3,3,3,4,4,4,5,5,4,4,4,3,3,4,4,5,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
48,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,1,0,0,0,1,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,1,2,2,1,1,1,0,0,1,1,2,1,1
90,81,1,3,3,3,4,4,4,5,5,5,5,4,4,4,3,3,4,4,5,5,4,4,4,3,3,3,4,4,4,5,5,4,4,4,3,3,4,4,5,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
144,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
168,81,1,6,6,7,7,8,8,9,9,10,10,11,11,6,6,7,7,8,8,9,9,10,10,10,11,11,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,0,0,1,1,2,2,3,3,4,4,5,5,0,0,1,1,2,2,3,3,4,4,4,5,5,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5
