Name,Icon,Type,Charges,Guilds,Flags,MonGrp,MonEffect,StrMod,DexMod,DefMod,DmgRed,Spell,SpellLvl,Skill,SkillLvl,AgiMod,IniMod,CanRemove,CanTrade,InfoMsg,BuyAt,SellAt
Null Item,0,0,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Short Sword,62,1,0,0,0,0,0,1,2,0,0,255,0,5,255,0,0,0,1,20,15,5
Broadsword,1,1,0,12,0,0,0,2,4,0,0,255,0,5,255,0,0,0,1,20,30,25
Longsword,1,1,0,12,0,0,0,2,12,0,0,255,0,5,255,0,0,0,1,20,250,50
Martel's Blade,1,1,6,12,0,3,7,4,33,0,0,11,6,5,255,0,1,0,0,20,0,125
Hengist's Sword,1,1,5,12,0,0,0,3,42,0,0,6,5,5,255,0,0,0,0,20,0,125
Talorcan's Claymore,4,1,3,12,0,0,0,4,90,0,0,9,3,5,255,0,0,0,0,20,0,200
Edwin's Peacegiver,4,1,5,12,0,0,0,3,47,0,0,7,6,5,255,0,0,0,0,20,0,200
Lowland Stabber,1,1,0,12,0,11,6,5,77,255,0,255,0,5,255,0,0,0,1,20,0,65
Thor's Bane,60,1,0,0,0,10,12,9,250,253,216,255,0,5,255,0,1,0,0,0,0,0
Lodbrok's Blade,4,1,0,12,0,10,12,10,240,253,206,255,0,5,255,0,1,0,0,20,0,1500
Oswald's Bane,1,1,5,12,0,7,11,6,83,0,0,5,6,5,255,0,0,0,0,20,0,200
Ecgfrith's Sword,60,1,5,12,0,3,11,8,110,255,241,1,8,5,255,0,0,0,0,20,0,200
Athelstan's Sword,1,1,8,12,0,5,10,8,120,0,236,10,2,5,255,0,0,0,0,20,0,200
Seax,60,1,0,12,0,0,0,7,130,1,0,255,0,5,255,0,3,0,0,20,0,200
Scramasax,1,1,3,12,0,0,0,7,140,255,226,10,7,5,255,0,0,0,0,20,0,200
Claymore,4,1,0,12,0,4,11,9,190,253,206,255,0,5,255,0,0,0,0,20,0,200
Axe,2,1,0,0,0,0,0,1,3,0,0,255,0,1,255,0,0,0,1,22,60,5
Battle Axe,2,1,0,28,0,0,0,2,10,0,0,255,0,1,255,0,0,0,1,22,250,25
Woodsman's Axe,2,1,0,76,0,0,0,1,17,0,0,255,0,1,255,0,0,0,1,22,0,25
Duncan's Axe,2,1,10,112,0,0,0,4,20,0,0,20,3,1,255,0,0,0,0,22,0,175
Malcolm's Chopper,2,1,0,52,0,7,9,3,35,0,0,255,0,1,255,0,0,0,0,22,0,500
Donalbain's Axe,29,1,10,60,0,0,0,6,83,0,0,10,3,1,255,0,0,0,0,22,0,1500
Banquo's Axe,29,1,5,124,0,11,12,9,200,252,216,0,6,1,255,0,0,0,0,22,0,3500
The Axe of Angus,29,1,10,0,0,0,0,7,100,253,226,5,12,1,255,255,255,0,0,22,0,0
Club,3,1,0,0,0,0,0,0,2,0,0,255,0,1,255,0,0,0,1,23,15,2
Mace,6,1,0,20,0,0,0,1,6,0,0,255,0,1,255,0,0,0,1,23,50,5
Cathness's Club,3,1,5,0,0,4,9,2,8,0,0,9,3,1,255,0,0,0,1,23,0,75
Morningstar,7,1,0,28,0,0,0,2,17,0,0,255,0,1,255,0,0,0,1,23,2500,200
Strathclyde's Club,3,1,5,140,0,0,0,2,15,0,0,20,6,1,255,0,0,0,0,23,0,1750
Hecate's Hammer,5,1,8,20,0,0,0,3,30,0,0,0,10,1,255,0,0,0,0,23,0,400
Flail,71,1,0,4,0,0,0,6,90,0,251,255,0,1,255,0,0,0,1,23,0,350
Fleance's Flail,71,1,2,52,0,0,0,6,100,255,246,19,10,1,255,0,0,0,1,23,0,100
War Hammer,31,1,0,116,0,0,0,2,60,0,0,255,0,1,255,0,255,0,1,23,15000,400
Hilda's Hammer,31,1,0,52,0,6,5,9,175,1,241,255,0,1,255,0,1,0,0,23,0,1200
Horsa's Hammer,31,1,8,244,0,5,12,9,180,254,236,6,6,1,255,0,0,0,0,23,0,1200
Macduff's Maul,10,1,5,156,0,12,15,8,250,254,231,1,10,1,255,0,0,0,0,23,0,5000
Quarterstaff,8,2,0,0,0,0,0,1,2,1,3,255,0,21,255,0,0,0,1,24,55,10
Spear,9,2,0,0,0,0,0,2,8,1,2,255,0,21,255,0,0,0,1,24,110,25
Ascomanni Spear,9,2,8,144,0,0,0,2,18,0,5,10,5,21,255,0,0,0,1,24,0,800
Halberd,10,2,0,4,0,0,0,2,16,1,5,255,0,21,255,0,0,0,1,24,5500,200
Long Spear,9,2,0,12,0,0,0,3,25,2,15,255,0,21,255,0,0,0,1,24,0,1150
Tapering Spear,9,2,5,68,0,0,0,3,25,1,10,8,9,21,255,0,2,0,0,24,0,500
Bayonet Spear,9,2,8,200,0,0,0,3,30,1,10,22,8,21,255,0,0,0,0,24,0,500
Lozenge Spear,8,2,0,24,0,12,14,4,50,1,15,255,0,21,255,0,0,0,0,24,0,500
Leaf Spear,9,2,5,72,0,11,10,5,65,2,15,0,6,21,255,0,0,0,0,24,0,500
Polearm,10,2,0,60,0,0,0,4,45,2,20,255,0,21,255,0,0,0,1,24,0,250
Bardiche,10,2,0,0,0,0,0,5,75,2,25,255,0,21,255,0,0,0,1,24,0,150
Elchere's Staff,44,2,5,208,0,0,0,5,80,1,20,6,9,21,255,0,0,0,0,24,0,500
Coerl's Staff,44,2,8,160,0,0,0,5,70,1,10,5,7,21,255,0,0,0,0,24,0,3500
Lance,9,2,0,156,0,5,9,6,90,1,15,255,0,21,255,0,0,0,1,24,0,200
Oswy's Javelin,45,2,8,148,0,1,10,7,100,1,10,2,8,21,255,0,0,0,0,24,0,500
Lugh's Spear,45,2,250,0,0,0,0,5,70,1,5,4,8,21,255,0,0,0,0,24,0,800
Osric's Staff,44,2,5,228,0,0,0,7,120,2,20,1,11,21,255,0,0,0,0,24,0,1250
Wulfherd's Staff,44,2,0,244,0,1,14,9,130,3,30,255,0,21,255,0,2,0,0,24,0,1250
Swithun's Staff,44,2,5,164,0,12,10,8,150,3,40,9,10,21,255,0,2,0,0,24,0,0
Aldhelm's Staff,44,2,10,0,0,0,0,9,100,4,40,4,12,21,255,1,0,0,0,24,0,3500
Short Bow,12,3,0,0,0,0,0,1,2,0,0,255,0,8,255,0,0,0,1,25,50,10
Longbow,12,3,0,12,0,0,0,2,12,0,0,255,0,8,255,0,0,0,1,25,250,50
Hunting Bow,12,3,8,204,0,7,10,2,18,0,0,5,7,8,255,0,0,0,1,25,0,450
Crossbow,13,3,0,12,0,0,0,2,29,0,0,255,0,8,255,0,0,0,1,25,500,40
Composite Bow,12,3,0,12,0,3,9,3,47,0,0,255,0,8,255,0,1,0,1,25,0,150
Welsh Longbow,43,3,8,192,0,5,12,4,60,0,0,11,5,8,255,0,0,0,0,25,0,700
Bernician Bow,43,3,5,128,0,0,0,4,73,0,0,1,8,8,255,0,0,0,0,25,0,700
Deiran Bow,43,3,8,0,0,0,0,5,83,0,0,6,4,8,255,0,0,0,0,25,0,700
Bow of Badonicus,43,3,5,132,0,1,10,7,140,0,0,0,6,8,255,0,2,0,0,25,0,900
Camlunn Crossbow,13,3,0,204,0,0,0,6,160,0,0,255,0,8,255,0,0,0,0,25,0,1000
Yew Bow of York,43,3,8,12,0,10,12,7,120,0,0,8,4,8,255,0,1,0,1,25,0,1500
Brunanburh Bow,43,3,0,200,0,9,13,9,200,0,0,255,0,8,255,0,1,0,0,25,0,1700
Dalriadan Bow,43,3,5,204,0,7,11,8,220,0,0,4,6,8,255,0,0,0,0,25,0,3500
Buckler,16,6,0,0,0,0,0,0,0,0,2,255,0,255,0,0,0,0,1,26,35,10
Round Shield,17,6,0,4,0,0,0,0,0,1,4,255,0,255,0,0,0,0,1,26,150,40
Linden Shield,18,6,10,128,0,3,1,0,0,2,9,20,4,255,0,1,0,0,1,26,0,350
Iron Bossed Shield,17,6,5,20,0,0,0,0,0,3,14,7,2,255,0,1,0,0,1,26,0,350
Convex Shield,18,6,0,20,0,0,0,0,0,1,7,255,0,255,0,0,0,0,1,26,300,60
Flat Shield,18,6,0,0,0,10,7,0,0,2,16,255,0,255,0,3,0,0,0,26,0,500
Pointed Shield,11,6,25,12,0,0,0,1,15,2,14,255,0,17,3,0,0,0,0,26,0,500
Kite Shield,18,6,0,20,0,0,0,0,0,3,32,255,0,255,0,2,0,0,0,26,0,2500
Shield Wall,18,6,5,68,0,9,7,0,0,5,54,6,5,255,0,0,1,0,0,26,0,1500
Edwin's Defender,17,6,5,68,0,6,7,0,0,6,50,255,0,22,2,2,0,0,0,26,0,1250
Guardian of Wessex,17,6,10,20,0,1,7,0,0,6,47,0,6,255,0,2,0,0,0,26,0,200
Ethelbald's Buckler,16,6,10,0,0,1,7,0,0,6,60,14,6,255,0,2,0,0,0,26,0,200
Wulfherd's Shield,18,6,50,28,0,6,7,0,0,4,40,255,0,24,7,1,1,0,0,26,0,10000
Ealstan's Absorber,17,6,22,4,0,0,0,0,0,9,86,13,7,255,0,0,0,0,0,26,0,500
My Lady's Favor,16,6,5,184,0,7,7,0,0,8,83,2,6,255,0,3,1,0,0,26,0,1500
Spiked Shield,11,6,5,92,0,0,0,3,40,7,69,4,10,255,0,2,0,0,0,26,0,3000
Hadrian's Wall,18,6,100,20,0,0,0,0,0,9,101,15,12,255,0,0,0,0,0,26,0,2500
Leather Cap,19,7,0,0,0,0,0,0,0,0,2,255,0,255,0,0,0,0,1,27,35,15
Head Chainmail,20,7,0,0,0,0,0,0,0,1,3,255,0,255,0,0,0,0,1,27,450,45
Turkish Hat,21,7,5,148,0,0,0,0,0,2,6,8,5,255,0,0,0,0,1,27,1500,125
Huda's Headgear,19,7,5,0,0,0,0,0,0,1,10,2,11,255,0,0,0,0,0,27,0,250
Ealstan's Cap,19,7,8,12,0,1,8,0,0,1,15,255,0,23,4,1,0,0,1,27,0,90
Wulfherd's Helm,21,7,8,28,0,0,0,0,0,2,17,255,0,20,10,0,0,0,1,27,0,350
Helmet,22,7,0,52,0,0,0,0,0,2,12,255,0,255,0,0,0,0,1,27,3000,275
Iron Crown,20,7,0,64,0,0,0,0,0,2,22,255,0,255,0,0,0,0,1,27,0,25
Deer Horned Helm,21,7,8,192,0,0,0,1,5,1,25,255,0,3,8,0,0,0,0,27,0,400
Spiked Helm,21,7,5,0,0,0,0,1,8,3,27,255,0,6,3,0,0,0,1,27,0,400
Antlered Helm,21,7,8,148,0,12,8,1,10,3,29,23,9,255,0,2,0,0,0,27,0,800
Reindeer Horn Helm,21,7,5,140,0,0,0,2,15,4,34,255,0,11,7,0,0,0,0,27,0,350
Slotted Helm,22,7,5,28,0,0,0,0,0,5,45,255,0,24,3,0,0,0,0,27,0,2000
Unicorn Horn Helm,21,7,5,0,0,1,8,1,10,8,75,1,9,255,0,2,0,0,0,27,0,3500
Phrygian Cap,20,7,0,4,0,11,7,0,0,6,47,255,0,255,0,1,0,0,0,27,0,2500
Rhino Horn Helm,21,7,15,188,0,0,0,5,30,9,83,4,7,255,0,0,0,0,0,27,0,2750
Ivar's Helm,22,7,8,16,0,0,0,0,0,7,58,255,0,13,10,1,0,0,0,27,0,1250
Alfred's Hat,67,7,5,0,0,9,7,0,0,8,77,255,0,14,10,2,0,0,0,27,0,1500
Ironside's Headgear,22,7,5,244,0,12,7,0,0,9,96,0,4,255,0,254,1,0,0,27,0,0
Alcuin's Cap,19,7,0,0,0,0,0,10,120,10,110,255,0,255,0,2,2,0,0,0,0,0
Cloth Jacket,24,8,0,0,0,0,0,0,0,1,2,255,0,255,0,0,1,0,1,28,15,5
Leather Jacket,25,8,0,0,0,0,0,0,0,1,4,255,0,255,0,0,0,0,1,28,125,40
Chainmail,26,8,0,20,0,0,0,0,0,1,8,255,0,255,0,1,255,0,1,28,1500,60
Cuirboillis,25,8,0,224,0,0,0,0,0,2,6,255,0,255,0,1,1,0,1,28,500,45
Breastplate,27,8,0,4,0,0,0,0,0,1,18,255,0,255,0,1,255,0,1,28,12000,350
Steel Breastplate,27,8,0,20,0,0,0,0,0,1,27,255,0,255,0,2,255,0,1,28,0,600
Woolen Cloak,24,8,0,0,0,0,0,0,0,2,12,255,0,255,0,2,2,0,1,28,0,600
Red Tartan Cloak,24,8,0,16,0,0,0,0,0,2,15,255,0,255,0,2,2,0,1,28,0,600
Blue Tartan Cloak,24,8,0,236,0,0,0,0,0,2,19,255,0,255,0,3,3,0,1,28,0,600
Field Plate,28,8,0,148,0,0,0,0,0,3,36,255,0,255,0,2,1,0,1,28,0,600
Full Plate,28,8,0,20,0,0,0,0,0,3,47,255,0,255,0,3,254,0,1,28,0,600
Half Plate,28,8,0,20,0,0,0,0,0,4,42,255,0,255,0,2,0,0,1,28,0,500
Adamantine Plate,28,8,0,20,0,1,8,0,0,5,60,255,0,255,0,4,254,0,0,28,0,1500
Holy Vestments,50,8,5,180,0,2,7,0,0,6,45,255,0,10,5,3,3,0,1,28,0,2500
Wizard's Tabard,53,8,5,248,0,0,0,255,236,7,45,255,0,17,6,2,5,0,1,28,0,1200
Thief's Tabard,53,8,10,236,0,7,7,1,10,6,45,255,0,23,4,3,4,0,1,28,0,1000
Ranger's Tabard,53,8,10,220,0,1,8,0,0,7,45,255,0,18,6,3,4,0,1,28,0,2300
Cleric's Tabard,53,8,0,244,0,0,0,0,0,6,45,255,0,255,0,3,4,0,1,28,0,1750
Knight's Tabard,53,8,0,188,0,0,0,0,0,7,45,255,0,255,0,4,3,0,1,28,0,0
Barbarian's Tabard,53,8,0,124,0,10,7,0,0,6,75,255,0,255,0,5,2,0,1,28,0,1000
Disbelieving Tunic,50,8,0,72,0,11,7,0,0,7,90,255,0,255,0,6,2,0,0,28,0,1500
Mendicant's Tunic,50,8,5,172,0,0,0,0,0,8,135,255,0,2,6,7,7,0,0,28,0,1000
Beggar's Robes,24,8,0,96,0,0,0,2,40,9,150,255,0,255,0,8,8,0,0,28,0,2500
Alfred's Robes,24,8,0,0,0,0,0,3,50,10,120,255,0,255,0,9,9,0,0,28,0,5000
Turgeis's Tripper,8,1,0,128,0,0,0,2,25,0,0,255,0,16,255,0,0,0,1,21,3500,50
Saxon Sticks,8,1,0,0,0,0,0,3,35,1,4,255,0,16,255,0,1,0,1,21,0,200
Ethelfleda's Flail,71,1,0,224,0,0,0,5,75,0,0,255,0,16,255,0,0,0,1,23,3200,150
Alcuin's Sticks,8,1,25,224,0,2,9,5,60,2,15,23,12,16,255,0,2,0,0,23,0,170
