Map,Idx,NameSingle,NamePlural,Typ,Lvl,LvlRnd,Count,Adds,Flee%,Cast%,Drop%,XP,Gold
0,0,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,1,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,2,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,3,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,4,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,5,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,6,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,7,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,8,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,9,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,10,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,11,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,12,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,13,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,14,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,15,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,16,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,17,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,18,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,19,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,20,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,21,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,22,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,23,Panther,Panthers,1,1,0,1,0,4,0,0,6,0
0,24,Wandering Wildcat,Wandering Wildcats,1,1,0,1,0,4,0,5,10,0
0,25,Wandering Wildcat,Wandering Wildcats,1,1,0,1,0,4,0,5,10,0
0,26,Wandering Wildcat,Wandering Wildcats,1,1,0,1,0,4,0,5,10,0
0,27,Wandering Wildcat,Wandering Wildcats,1,1,0,1,0,4,0,5,10,0
0,28,Wandering Wildcat,Wandering Wildcats,1,1,0,2,0,4,0,5,12,4
0,29,Craven Kitty,Craven Kitties,1,1,0,1,0,4,0,5,10,0
0,30,Craven Kitty,Craven Kitties,1,1,0,2,0,4,0,5,12,5
0,31,Cat of Immense Girth,Fat Cats,1,1,0,1,0,4,0,5,10,0
0,32,Cat of Immense Girth,Fat Cats,1,1,0,2,0,4,0,5,12,7
0,33,Bothersome Bat,Bothersome Bats,16,1,0,1,0,4,0,5,11,0
