Map,MapIndex,NameSingle,NamePlural,?,Count,Adds,?,?,?,RewardXP,RewardGold,?,?,?,?,?,?,HP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,Wolf,Wolves,0,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,1,Lion,Lions,0,1,1,4,0,0,0,0,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
0,2,Bear,Bears,0,1,1,4,0,0,0,0,3,6,2,36,17,225,600,60,12,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,9,6,8,6,9,8,12,16,6,1,7,4,6,20,8,1,4,0,6
0,3,Snake,Snakes,0,1,1,4,0,0,0,0,4,6,1,30,16,60,180,6,2,3,5,3,3,3,0,15,255,255,2,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,4,Dinosaur,Dinosaurs,0,1,1,4,0,0,0,0,4,4,1,15,10,10,30,2,1,4,7,2,1,2,0,6,0,255,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,5,Scorpion,Scorpions,0,1,1,4,0,0,0,0,4,7,2,75,22,106,750,15,4,0,2,42,4,6,0,3,1,18,0,20,254,40,4,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,6,Leech,Leeches,0,1,1,4,0,0,0,0,5,7,1,48,22,260,500,12,3,0,2,2,6,8,0,13,1,20,0,14,0,0,1,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,7,Spider,Spiders,0,1,1,4,0,0,0,0,5,8,2,75,21,145,500,60,7,0,2,1,254,0,1,1,0,12,0,1,4,8,0,8,11,8,11,4,7,1,4,1,5,1,6,6,8,6,8,20,4,20,4
0,8,Skeleton,Skeletons,0,1,1,4,0,0,0,0,5,5,1,36,15,60,110,3,3,2,4,3,2,2,0,3,255,0,1,3,5,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,9,Ghost,Ghosts,0,1,1,4,0,0,0,0,7,2,1,16,8,12,35,0,1,4,10,65,0,2,0,115,0,3,0,115,2,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,10,Undead,Undeads,0,1,1,4,0,0,0,0,7,9,1,80,22,165,1000,18,9,0,5,42,255,30,2,42,3,10,0,42,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,11,Bugbear,Bugbears,0,1,1,4,0,0,0,0,8,7,1,60,21,600,2500,30,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,10,1,8,1,7,21,9,4,8,4,7,20,8,10,11,9,9
0,12,Minotaur,Minotaurs,1,1,1,4,0,0,0,0,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,13,Gargoyle,Gargoyles,1,1,1,4,0,0,0,0,10,6,1,32,15,120,600,21,6,0,4,83,0,8,0,2,2,3,0,1,2,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,14,Dragon,Dragons,1,1,1,4,0,0,0,0,10,5,1,27,16,70,400,5,3,3,4,103,255,6,0,103,0,3,0,11,3,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,15,Imp,Imps,1,1,1,4,0,0,0,0,10,6,1,60,24,400,1200,11,6,0,3,42,255,35,0,42,1,11,0,12,6,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,16,Phantasm,Phantasms,1,1,1,4,0,0,0,0,1,6,1,52,21,700,5000,90,13,0,1,2,3,16,0,2,3,9,0,2,4,7,0,1,10,1,12,4,9,4,11,0,7,6,12,8,12,3,12,20,12,9,11
0,17,Giant,Giants,1,1,1,4,0,0,0,0,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,11,10,12,4,7
0,18,Ogre,Ogres,1,1,1,4,0,0,0,0,1,4,1,32,12,34,120,9,5,2,3,40,4,0,0,40,2,1,0,40,0,4,0,8,5,8,5,8,5,6,4,6,4,6,4,6,4,1,5,1,5,1,5
0,19,Lizard Man,Lizard Men,1,1,1,4,0,0,0,0,1,5,1,28,16,275,700,60,10,0,2,67,0,7,0,67,1,4,0,67,2,2,0,8,12,6,8,4,5,3,7,9,6,10,7,0,5,6,6,4,4,7,7
0,20,Goblin,Goblins,1,1,1,4,0,0,0,0,8,11,2,60,24,700,10000,200,15,0,2,2,255,24,2,42,2,12,0,42,4,10,0,6,12,1,10,4,8,4,10,3,9,1,10,9,10,2,7,0,9,20,9
0,21,Wolf,Wolves,1,1,1,4,0,0,0,0,12,6,2,110,22,400,9000,11,12,0,6,65,2,35,0,65,1,18,0,65,6,8,2,8,12,6,12,4,12,8,12,1,6,1,7,1,8,3,8,20,4,20,6
0,22,Wolf,Wolves,1,1,1,4,0,0,0,0,11,5,1,36,17,80,180,9,3,5,7,38,1,3,2,40,4,0,0,115,2,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,23,Wolf,Wolves,1,1,1,4,0,0,0,0,11,4,1,40,15,50,200,4,3,2,8,66,255,11,2,102,1,7,0,66,4,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,24,Wolf,Wolves,1,1,1,4,0,0,0,0,11,3,1,17,10,16,40,0,3,5,10,40,1,3,0,115,2,1,0,8,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,25,Wolf,Wolves,1,1,1,4,0,0,0,0,1,9,2,60,26,325,900,90,12,3,1,65,3,20,4,115,6,6,0,8,255,40,0,8,12,4,9,6,8,8,12,10,12,20,6,1,7,0,9,21,9,1,9
0,26,En-Li-Kil,En-Li-Kil,1,1,0,4,0,0,0,0,2,8,1,45,14,88,315,7,9,6,7,102,6,2,0,8,255,10,0,69,1,7,0,21,5,8,8,10,5,1,4,19,3,20,4,6,4,6,5,8,5,11,5
0,27,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,28,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,29,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,30,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,31,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,32,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,33,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,34,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,35,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,36,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,37,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,38,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
0,39,Wolf,Wolves,1,1,1,4,0,0,0,0,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
1,0,Wolf,Wolves,0,1,0,4,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
1,1,Wolf,Wolves,0,1,1,4,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
1,2,Wolf,Wolves,0,2,0,6,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
1,3,Snake,Snakes,0,1,0,6,0,0,10,20,4,6,1,30,16,60,180,6,2,3,5,3,3,3,0,15,255,255,2,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,4,Snake,Snakes,0,1,1,6,0,0,10,20,4,6,1,30,16,60,180,6,2,3,5,3,3,3,0,15,255,255,2,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,5,Coelus,Coeluses,0,1,0,6,0,0,15,30,4,4,1,15,10,10,30,2,1,4,7,2,1,2,0,6,0,255,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,6,Coelus,Coeluses,0,1,1,6,0,0,15,30,4,4,1,15,10,10,30,2,1,4,7,2,1,2,0,6,0,255,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
