Map,MapIndex,NameSingle,NamePlural,a0,Count,Adds,a1,PAR,MAR,XP,Gold,b0,b1,b2,Str,Def,Dex,HP,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,sp0,sl0,sp1,sl1,sp2,sl2,sp3,sl3,sp4,sl4,sp5,sl5,sp6,sl6,sp7,sl7,sp8,sl8,sp9,sl9
0,0,Wolf,Wolves,0,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,1,Lion,Lions,0,1,1,4,0,0,0,0,3,2,1,12,6,10,16,1,1,0,8,1,0,0,0,2,255,1,0,2,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,2,Bear,Bears,0,1,1,4,0,0,0,0,3,4,1,14,10,12,50,2,1,4,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,3,Snake,Snakes,0,1,1,4,0,0,0,0,4,3,1,12,8,5,18,2,1,0,9,3,2,0,0,3,255,2,0,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,4,Dinosaur,Dinosaurs,0,1,1,4,0,0,0,0,4,3,1,12,8,6,25,1,1,4,7,2,0,1,0,6,0,254,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,5,Scorpion,Scorpions,0,1,1,4,0,0,0,0,5,2,1,16,9,16,28,2,1,4,7,2,1,0,0,13,2,252,1,2,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,6,Leech,Leeches,0,1,1,4,0,0,0,0,5,2,1,20,12,19,100,2,2,3,9,1,255,4,0,1,0,2,0,1,1,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,7,Spider,Spiders,0,1,1,4,0,0,0,0,5,2,1,16,7,16,30,0,1,3,7,3,1,0,0,3,0,255,0,3,255,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,8,Skeleton,Skeletons,0,1,1,4,0,0,0,0,7,2,1,12,7,8,20,0,1,4,10,65,0,1,0,115,255,2,0,115,1,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,9,Ghost,Ghosts,0,1,1,4,0,0,0,0,6,3,1,1,120,0,36,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,7,1,7,2
0,10,Undead,Undeads,0,1,1,4,0,0,0,0,7,3,1,22,15,25,250,0,2,2,6,1,0,0,0,1,0,1,0,1,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,11,Bugbear,Bugbears,0,1,1,4,0,0,0,0,10,5,1,20,12,32,250,8,3,2,6,42,0,6,0,2,2,2,0,2,1,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,12,Minotaur,Minotaurs,1,1,1,4,0,0,0,0,10,5,1,25,15,50,300,4,3,3,4,103,255,4,0,103,0,2,0,11,3,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,13,Gargoyle,Gargoyles,1,1,1,4,0,0,0,0,1,5,1,30,13,250,200,16,6,2,3,6,0,2,4,6,1,1,0,6,2,0,0,15,4,8,8,12,4,6,6,1,4,1,2,10,5,20,4,4,4,9,4
0,14,Dragon,Dragons,1,1,1,4,0,0,0,0,9,4,1,24,16,300,400,30,7,0,2,2,3,6,0,3,3,10,0,4,253,40,0,6,7,4,3,1,3,8,9,0,4,3,3,1,2,12,5,11,12,15,6
0,15,Imp,Imps,1,1,1,4,0,0,0,0,1,3,1,16,8,9,20,2,4,4,6,2,2,255,0,2,0,1,0,2,255,4,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1
0,16,Phantasm,Phantasms,1,1,1,4,0,0,0,0,1,5,1,24,15,250,600,45,10,0,2,67,255,6,0,67,0,3,0,67,1,1,0,8,12,6,7,4,4,3,6,9,6,10,7,0,4,4,4,3,4,7,6
0,17,Giant,Giants,1,1,1,4,0,0,0,0,12,2,1,25,15,32,120,0,2,5,10,92,255,10,0,92,0,6,0,92,1,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,18,Ogre,Ogres,1,1,1,4,0,0,0,0,11,2,1,12,7,6,20,0,1,6,10,65,0,1,0,101,1,0,0,8,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,19,Lizard Man,Lizard Men,1,1,1,4,0,0,0,0,11,3,1,20,10,21,70,2,1,4,9,10,0,1,0,10,255,2,0,10,1,255,0,8,1,8,1,8,1,8,1,8,1,8,1,11,1,11,1,11,1,11,1
0,20,Goblin,Goblins,1,1,1,4,0,0,0,0,11,3,1,14,9,12,30,0,2,5,11,40,2,0,0,115,3,0,0,8,255,5,0,255,1,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,21,Wolf,Wolves,1,1,1,4,0,0,0,0,2,2,1,21,9,4,30,0,2,4,8,65,1,0,0,115,2,0,0,8,3,0,0,15,1,15,1,15,1,15,1,15,1,8,1,8,1,8,1,11,1,7,1
0,22,Wolf,Wolves,1,1,1,4,0,0,0,0,2,2,1,22,9,5,50,0,2,4,9,65,0,0,0,115,0,1,0,8,3,0,0,20,1,20,1,20,1,20,1,20,1,15,1,15,1,15,1,12,1,12,1
0,23,Wolf,Wolves,1,1,1,4,0,0,0,0,2,3,1,20,9,8,30,0,3,5,10,65,1,0,0,115,2,0,0,8,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,24,Wolf,Wolves,1,1,1,4,0,0,0,0,2,3,1,21,10,6,45,0,2,5,7,65,2,0,0,115,3,0,0,8,1,1,0,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1
0,25,Wolf,Wolves,1,1,1,4,0,0,0,0,2,1,1,20,8,4,40,0,1,8,10,115,1,0,0,101,0,1,0,8,3,0,0,12,1,12,1,12,1,12,1,15,1,15,1,15,1,7,1,7,1,8,1
0,26,En-Li-Kil,En-Li-Kil,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,28,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,29,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,30,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,31,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,32,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,33,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,34,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,35,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,36,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,37,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
