#TITLE.EXE, 66 strings
000091E0,"Test"
0000F97A,"PATH="
00010530,"ail.exe"
00010664,"Borland C++ - Copyright 1991 Borland Intl."
00010815,"ADLIB.ADV"
0001081F,"ADLIB.ADV"
00010829,"ADLIB.ADV"
00010833,"MT32MPU.ADV"
0001083F,"SBFM.ADV"
00010848,"AD99.XMI"
00010851,"ADTIMBRE.GTL"
0001085E,"SBDIG.ADV"
00010868,"Bad or Missing LSCI.CFG."
00010881,"Low Memory. Not loading Sound."
000108A0,"Error Loading XMIDI Driver."
000108BF,"XMIDI Driver NOT Compatible"
000108DB,"Driver NOT XMIDI."
000108ED,"Could NOT find Sound Hardware."
0001090C,"THE DUNGEON CLOSES..."
00010922,"Error loading XMI file."
0001093D,"Could NOT find a Timbre."
00010956,"OKAY"
0001095B,"CANCEL"
00010A2D,"resource.099"
00010A76,"Heap has been corrupted!"
00010A8F,"ysgenn"
00010A9B,"tfotgenn"
00010AA9,"yserbius"
00010AB7,"yserbius"
00010ACA,"0123456789ABCDEF"
00010DD8,"TITLIMG.DAT"
00010DE4,"TITLPAL.DAT"
00010DF4,"help.dat"
00010DFD,"help.dat"
00010E06,"Press Any Key To Exit"
00010E1C,"Memory Allocation Error"
00010E34,"Illegal Sprite Value"
00010E49,"Attempt To Dispose Null Ptr (MEMMGR)"
00010E6E,"Attempt To Dispose Non-Allocated Ptr (MEMMGR)"
00010E9C,"Attempt To Dispose Non-Linked Ptr (MEMMGR)"
00010EC7,"Memory Allocation Error (MEMMGR)"
00010EE8,"Unable to Obtain New Handle (MEMMGR)"
00010F0D,"Illegal Sprite Parameters"
00010F27,"Version Control Error"
00010F3D,"Unable To Find File : "
00010F72,"palette.dat"
00014351,"vrhd`VRHD@"
000143D0,"$)48CHSXchr"
00014403,"****.TSU"
0001482D,"music"
00014833,"music"
00014839,"music"
00014845,"TANDYXL.DRV"
00014851,"TANDYXL.DRV"
0001485D,"ADL.DRV"
00014865,"ADL.DRV"
0001486D,"MT32.DRV"
00014876,"MT32.DRV"
0001487F,"SNDBLAST.DRV"
0001488C,"SNDBLAST.DRV"
00014920,"Play Yserbius"
0001492E,"Show Intro"
00014939,"Show Endgame"
00014946,"Quit to DOS"
00014CA3,"COMPAQ"
00014D08,"PATH"
