i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,6
4,46,0,7,6
5,55,0,2,1
6,59,0,24,6
7,85,0,8,6
8,95,0,12,6
9,109,0,2,1
10,113,0,2,1
11,117,0,8,6
12,127,0,2,1
13,131,0,2,1
14,135,0,6,7
15,143,0,6,6
16,151,0,9,8
17,162,0,9,8
18,173,0,7,8
19,182,0,7,8
20,191,0,20,9
21,213,0,2,2
22,217,0,7,8
23,226,0,7,8
24,235,0,7,8
25,244,0,7,8
26,0,9,7,8
27,9,9,7,8
28,18,9,7,8
29,27,9,7,8
30,36,9,7,8
31,45,9,11,8
32,58,9,4,6
33,64,9,2,5
34,68,9,4,5
35,74,9,6,6
36,82,9,4,7
37,88,9,6,7
38,96,9,4,7
39,102,9,3,5
40,107,9,3,5
41,112,9,3,5
42,117,9,6,5
43,125,9,4,5
44,131,9,4,5
45,137,9,4,5
46,143,9,4,5
47,149,9,4,5
48,155,9,4,5
49,161,9,4,5
50,167,9,4,5
51,173,9,4,5
52,179,9,4,5
53,185,9,4,5
54,191,9,4,5
55,197,9,4,5
56,203,9,4,5
57,209,9,4,5
58,215,9,4,5
59,221,9,4,5
60,227,9,4,7
61,233,9,4,5
62,239,9,4,7
63,245,9,4,5
64,0,18,6,7
65,8,18,4,5
66,14,18,4,5
67,20,18,4,5
68,26,18,4,5
69,32,18,4,5
70,38,18,4,5
71,44,18,4,5
72,50,18,4,5
73,56,18,4,5
74,62,18,4,5
75,68,18,4,5
76,74,18,4,5
77,80,18,6,5
78,88,18,5,5
79,95,18,5,5
80,102,18,4,5
81,108,18,4,6
82,114,18,4,5
83,120,18,4,5
84,126,18,4,5
85,132,18,4,5
86,138,18,4,5
87,144,18,6,5
88,152,18,4,5
89,158,18,4,5
90,164,18,4,5
91,170,18,3,7
92,175,18,5,7
93,182,18,3,7
94,187,18,4,7
95,193,18,4,7
96,199,18,3,7
97,204,18,4,5
98,210,18,4,5
99,216,18,4,5
100,222,18,4,5
101,228,18,4,5
102,234,18,4,5
103,240,18,4,7
104,246,18,4,5
105,252,18,2,5
106,0,27,3,6
107,5,27,4,5
108,11,27,2,5
109,15,27,6,5
110,23,27,4,5
111,29,27,4,5
112,35,27,4,7
113,41,27,4,7
114,47,27,4,5
115,53,27,4,5
116,59,27,4,5
117,65,27,4,5
118,71,27,4,5
119,77,27,6,5
120,85,27,4,5
121,91,27,4,7
122,97,27,4,5
123,103,27,4,7
124,109,27,3,7
125,114,27,4,7
126,120,27,5,7
127,127,27,2,1
