loop,cel,x,y,w,h
0,12,0,0,8,43
0,14,8,0,8,43
0,13,16,0,8,43
0,11,24,0,8,43
0,10,32,0,8,43
0,8,40,0,8,43
0,7,0,43,8,43
0,9,24,43,8,43
0,5,32,43,8,43
0,4,40,43,8,43
0,3,16,43,8,43
0,2,8,43,8,43
0,1,48,0,8,43
0,6,48,43,8,43
2,1,56,0,7,43
2,12,56,43,7,43
2,11,63,43,7,43
2,10,70,43,7,43
2,2,77,43,7,43
2,7,63,0,7,43
2,4,84,43,7,43
2,5,70,0,7,43
2,6,77,0,7,43
2,13,84,0,7,43
2,3,91,0,7,43
2,14,91,43,7,43
2,8,98,43,7,43
2,9,98,0,7,43
4,3,8,86,6,5
4,5,32,86,6,5
4,2,48,86,6,4
4,4,63,86,6,4
4,6,77,86,6,4
4,8,84,86,6,4
4,11,70,86,6,4
4,12,56,86,6,4
4,10,16,86,5,4
4,1,24,86,5,4
4,7,40,86,5,4
4,14,0,86,6,3
4,13,0,89,6,3
1,12,48,90,4,4
1,4,24,90,5,3
3,3,40,90,5,3
3,4,16,90,5,3
4,9,63,90,5,3
1,1,52,90,4,3
1,8,77,90,4,3
1,9,84,90,4,3
3,14,88,90,4,3
1,3,90,86,4,3
1,6,56,90,4,3
3,5,70,90,4,3
3,2,8,91,4,3
1,11,32,91,4,3
1,14,12,91,4,3
3,6,36,91,4,3
1,7,21,86,3,3
3,9,45,86,3,3
3,1,29,86,3,3
1,5,29,90,3,3
1,10,45,90,3,3
1,13,21,90,3,3
3,12,81,90,3,3
1,2,0,92,4,2
1,0,92,90,8,1
2,0,92,91,8,1
3,7,4,92,4,2
3,0,92,92,8,1
4,0,24,93,8,1
0,0,92,93,8,1
3,13,60,90,3,2
3,11,74,90,3,2
3,10,84,93,3,2
3,8,88,93,3,2
