loop,cel,x,y,w,h
0,0,0,0,55,26
2,0,0,26,54,23
4,1,0,49,35,19
4,0,35,49,35,19
8,10,54,26,57,10
8,9,54,36,57,10
8,8,55,0,57,10
8,7,55,10,57,10
8,6,35,68,57,10
8,12,70,49,57,10
8,4,35,78,57,10
8,3,35,88,57,10
8,13,92,68,57,10
8,2,92,88,57,10
8,1,92,78,57,10
8,0,35,98,57,10
8,14,92,98,57,10
8,11,111,26,57,10
8,5,111,36,57,10
8,15,35,108,57,10
1,9,0,68,23,24
1,5,0,92,23,24
1,6,92,108,23,24
1,7,112,0,23,24
1,8,115,108,23,24
1,10,0,116,23,24
1,4,35,118,23,24
1,3,58,118,23,24
1,2,92,132,23,24
1,1,115,132,23,24
1,0,135,0,23,24
2,3,138,108,21,22
2,2,138,132,21,22
2,1,127,49,18,16
3,1,0,140,19,15
3,0,35,142,19,15
7,2,70,59,28,9
7,1,98,59,24,9
5,0,19,140,15,13
6,1,58,142,15,13
6,0,73,142,15,13
5,1,145,49,15,13
7,0,23,68,8,9
