loop,cel,x,y,w,h
5,2,0,0,21,9
9,5,0,9,21,9
8,2,0,18,21,9
8,1,21,0,21,9
8,0,21,18,21,9
5,1,21,9,21,9
5,0,0,27,21,9
9,8,21,27,21,9
2,2,42,9,21,8
0,1,0,36,21,8
9,2,21,36,21,8
9,0,42,0,21,8
0,2,42,27,21,8
2,1,42,36,21,8
2,0,42,18,21,8
0,0,21,44,21,8
1,2,42,44,19,7
3,0,42,51,19,7
9,3,42,58,19,7
3,1,61,44,19,7
9,1,61,58,19,7
3,2,61,51,19,7
1,1,63,9,19,7
1,0,21,52,19,7
7,1,21,59,21,6
9,7,63,27,21,6
7,2,63,36,21,6
7,0,63,18,21,6
4,0,63,0,23,5
4,1,61,65,23,5
9,4,61,70,23,5
6,1,0,44,19,6
6,0,0,50,19,6
9,6,0,56,19,6
4,2,0,62,21,5
6,2,21,65,19,5
