Name,Icon,Type,Charges,Guilds,Flags,MonGrp,MonEffect,StrMod,DexMod,DefMod,DmgRed,Spell,SpellLvl,Skill,SkillLvl,AgiMod,IniMod,CanRemove,CanTrade,InfoMsg,BuyAt,SellAt
Null Item,0,0,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Short Sword,1,1,0,0,0,0,0,0,1,0,0,255,0,5,255,0,0,0,1,20,15,5
Broadsword,1,1,0,12,0,0,0,1,4,0,0,255,0,5,255,0,0,0,1,20,30,25
Longsword,1,1,0,28,0,0,0,2,8,0,0,255,0,5,255,0,0,0,1,20,250,50
Heaven's Wrath,76,1,6,169,0,3,7,4,15,0,0,11,6,5,255,0,1,0,0,20,0,125
Flame Blade,76,1,5,44,0,0,0,2,20,0,0,6,5,5,255,0,0,0,0,20,0,125
Crystalized Blade,76,1,3,156,0,0,0,3,20,0,0,9,3,5,255,0,0,0,0,20,0,200
Frost Blade,76,1,5,60,0,0,0,2,22,0,0,7,6,5,255,0,0,0,0,20,0,200
Iron Cutlass,1,1,0,8,0,11,6,2,24,255,0,255,0,5,255,0,0,0,1,20,0,65
Katana,1,1,0,164,0,0,0,2,25,0,0,255,0,16,255,0,0,0,1,21,3500,50
Samurai Sword,1,1,0,196,0,0,0,3,30,1,0,255,0,16,255,0,1,0,1,21,0,200
Silver Sword,1,1,5,136,64,7,11,2,30,0,0,5,6,5,255,0,0,0,0,20,0,200
Black Blade,60,1,5,58,128,3,11,3,55,255,0,1,8,5,255,0,0,0,0,20,0,200
Serpent's Fang,1,1,8,168,32,5,10,2,65,0,0,10,2,5,255,0,0,0,0,20,0,200
Thief's Stiletto,60,1,0,236,0,0,0,4,90,2,0,255,0,5,255,0,3,0,0,20,0,200
Flame Tongue,76,1,3,36,0,0,0,4,90,0,0,6,7,5,255,0,0,0,0,20,0,200
Two-Handed Sword,53,1,0,28,0,4,11,5,125,253,0,255,0,5,255,0,0,0,0,20,0,200
Phosphorescent Blade,53,1,0,188,64,10,12,6,240,253,0,255,0,5,255,0,1,0,0,20,0,1500
Axe,2,1,0,0,0,0,0,1,6,0,0,255,0,1,255,0,0,0,1,22,60,5
Battle Axe,2,1,0,28,0,0,0,2,10,0,0,255,0,1,255,0,0,0,1,22,250,25
Woodsman's Axe,2,1,0,76,0,0,0,1,17,0,0,255,0,1,255,0,0,0,1,22,0,25
Bronze Battle Axe,2,1,10,112,0,0,0,3,20,0,0,20,3,1,255,0,0,0,0,22,0,175
Mercury Axe,2,1,0,52,64,7,9,3,35,0,0,255,0,1,255,0,0,0,0,22,0,500
Axe of Venom,2,1,10,60,32,0,0,2,45,0,0,10,3,1,255,0,0,0,0,22,0,1500
Barbarian Axe,2,1,5,124,0,11,12,4,225,0,2,0,6,1,255,0,0,0,0,22,0,3500
Death's Cleaver,2,1,10,0,0,0,0,6,6,250,0,5,6,1,255,255,255,0,0,22,0,0
Club,3,1,0,0,0,0,0,0,2,0,0,255,0,1,255,0,0,0,1,23,15,2
Mace,6,1,0,20,0,0,0,1,6,0,0,255,0,1,255,0,0,0,1,23,50,5
