Typ,Lvl,x0,Ini,AtkCnt,Str,Def,Dex,HP,DmgRed,MAtkSav,FleeAt,x1,w0,w0hit,w0dmg,w0spa,w1,w1hit,w1dmg,w1spa,w2,w2hit,w2dmg,w2spa,sp0,sl0,sp1,sl1,sp2,sl2,sp3,sl3,sp4,sl4,sp5,sl5,sp6,sl6,sp7,sl7,sp8,sl8,sp9,sl9
1,1,3,2,1,12,6,10,16,1,1,0,8,1,0,0,0,2,255,1,0,2,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,2,3,2,1,16,7,15,18,2,1,0,7,1,2,0,0,2,1,1,0,2,255,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,3,3,3,1,18,8,35,25,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,4,3,3,1,25,10,45,35,15,3,2,6,1,4,255,0,2,3,2,0,2,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,5,3,4,1,32,14,60,60,20,4,2,6,1,4,254,0,2,3,2,0,9,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,6,3,4,1,40,15,90,75,30,5,2,6,1,4,253,0,2,4,3,0,9,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,7,3,5,1,45,16,130,95,40,6,0,4,1,2,8,0,2,4,3,0,2,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,8,3,5,1,55,18,175,250,50,7,0,4,1,2,10,0,2,5,5,0,2,0,10,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,9,3,6,1,65,19,225,750,50,7,2,2,1,255,50,0,2,1,17,0,2,1,17,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,10,3,6,1,74,20,300,1200,50,8,0,0,1,255,50,0,2,1,17,0,2,1,17,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,11,3,6,2,74,21,400,1200,60,8,0,0,1,255,50,0,2,1,17,0,2,1,17,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,12,3,6,2,74,22,500,1200,70,9,0,0,1,255,50,0,2,1,17,0,2,1,17,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,13,3,6,2,74,24,600,5000,125,10,0,0,1,0,50,0,2,3,17,0,2,3,17,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,14,3,12,2,80,27,2500,25000,250,15,0,0,1,1,50,0,2,2,25,0,2,2,25,0,8,12,10,12,0,8,4,10,4,12,4,11,12,10,1,11,1,10,20,10
1,15,3,12,2,85,35,3200,30000,300,15,0,0,1,2,50,0,2,3,34,0,2,3,34,0,8,12,10,12,0,12,4,12,4,12,4,12,12,12,1,12,1,12,20,12
