Desc.,Exp,AbiPts,Dex_Base,Dex_Rnd,MP_Base,MP_Rnd,HP_Base,HP_Rnd,SkPts,Skill,SpPts,Spell0,Spell1
Brb 00,5,2,3,0,1,1,8,6,0,1,0,255,255
Brb 01,60,2,1,3,1,2,12,8,1,255,0,255,255
Brb 02,100,1,1,3,2,2,16,8,1,255,0,20,255
Brb 03,200,1,3,4,2,2,20,10,1,255,1,8,255
Brb 04,500,1,3,4,2,4,24,12,1,0,1,255,255
Brb 05,1000,1,3,4,4,4,28,14,1,255,1,255,255
Brb 06,2000,1,3,4,4,8,33,16,1,255,2,255,255
Brb 07,4000,1,7,6,6,8,42,18,2,255,2,255,255
Brb 08,6000,1,7,6,6,12,50,20,2,255,2,255,255
Brb 09,9000,2,7,6,8,12,65,22,2,3,2,17,255
Brb 10,15000,2,7,6,8,12,75,24,2,255,2,255,255
Brb 11,25000,2,15,10,10,12,90,26,2,255,2,255,255
Brb 12,45000,2,15,10,10,12,135,30,2,255,2,255,255
Brb 13,75000,2,15,10,10,16,180,40,2,255,3,255,255
Brb 14,125000,3,15,10,10,16,270,60,3,2,3,255,255
Brb 15,150000,3,40,20,18,20,270,60,3,255,3,255,255
Brb 16,200000,2,40,20,18,20,460,80,4,255,4,255,255
Brb 17,250000,2,40,20,18,20,550,100,4,255,4,255,255
Brb 18,250000,2,40,20,18,20,650,100,5,255,5,255,255
Brb 19,250000,2,40,20,18,20,650,100,9,255,9,3,255
Brb 20,500000,1,30,15,18,20,700,100,10,255,15,255,255
Brb 21,500000,1,35,15,18,20,700,100,12,255,18,255,255
Brb 22,500000,1,35,15,18,20,700,100,10,255,10,255,255
Brb 23,750000,0,35,15,18,20,700,100,15,255,15,255,255
Brb 24,750000,0,35,15,18,20,750,100,15,255,15,10,255
Brb 25+,825000,0,40,20,17,20,750,125,0,255,0,255,255
Knt 00,5,1,1,0,2,1,8,4,0,6,0,255,255
Knt 01,55,1,2,0,2,2,10,6,1,255,0,255,255
Knt 02,100,1,2,1,2,2,12,8,1,255,0,255,255
Knt 03,200,1,2,2,4,2,16,10,1,255,0,5,255
Knt 04,450,2,2,2,4,4,20,12,1,5,2,18,255
Knt 05,1000,2,3,2,6,6,25,14,1,255,2,255,255
Knt 06,1750,2,3,3,6,6,30,16,1,255,2,255,255
Knt 07,3500,2,3,4,8,6,35,18,1,255,3,17,255
Knt 08,6000,2,3,4,8,8,40,20,3,255,3,255,255
Knt 09,9000,3,3,6,8,10,45,22,2,4,3,12,255
Knt 10,15000,3,3,6,10,10,50,24,3,255,4,255,255
Knt 11,25000,3,9,6,14,15,60,26,3,255,4,255,255
Knt 12,45000,2,9,8,18,15,90,28,3,255,5,255,255
Knt 13,75000,2,9,8,24,20,120,30,4,7,6,255,255
Knt 14,125000,2,9,10,24,20,150,40,4,255,7,255,255
Knt 15,150000,2,9,10,24,20,200,50,4,255,8,255,255
Knt 16,200000,2,12,12,30,30,250,60,5,255,9,255,255
Knt 17,250000,2,12,12,32,30,300,70,5,255,10,255,255
Knt 18,250000,2,12,16,35,30,360,80,6,255,10,255,255
Knt 19,250000,2,25,16,40,30,400,90,9,255,10,255,255
Knt 20,250000,2,25,20,35,30,450,100,10,255,11,255,255
Knt 21,500000,2,25,20,32,30,550,100,11,255,12,255,255
Knt 22,500000,1,25,24,30,30,600,100,12,255,13,255,255
Knt 23,500000,0,25,24,30,30,650,100,15,255,15,1,255
Knt 24,750000,0,25,30,30,20,700,100,15,255,15,255,255
Knt 25+,850000,0,30,20,40,15,725,125,0,255,0,255,255
Rng 00,5,1,1,0,2,1,8,4,0,8,0,255,255
Rng 01,40,1,1,0,2,2,10,6,1,255,0,255,255
Rng 02,100,1,1,0,2,2,12,8,1,255,0,255,255
Rng 03,200,1,2,2,4,2,16,10,2,11,0,255,255
Rng 04,450,1,2,2,4,4,20,12,2,255,2,19,255
Rng 05,1000,1,2,2,6,6,25,14,2,255,2,11,255
Rng 06,1750,1,2,2,6,6,30,16,2,255,2,255,255
Rng 07,3500,1,4,4,8,6,35,18,2,255,2,255,255
Rng 08,6000,1,4,4,8,8,40,20,3,9,2,17,255
Rng 09,9000,1,4,4,8,10,45,22,3,255,4,255,255
Rng 10,15000,1,4,4,10,10,50,24,3,255,5,255,255
Rng 11,25000,2,8,6,14,15,60,26,4,255,6,16,255
Rng 12,45000,2,8,6,18,15,90,28,4,10,7,255,255
Rng 13,75000,2,8,6,24,20,120,30,5,255,8,255,255
Rng 14,125000,3,8,6,24,20,150,40,5,255,9,255,255
Rng 15,150000,3,8,6,24,40,150,28,5,255,10,255,255
Rng 16,200000,3,16,8,25,40,155,30,5,255,10,255,255
Rng 17,250000,3,16,8,26,40,165,36,5,255,11,6,255
Rng 18,250000,2,16,8,27,50,175,40,6,255,12,255,255
Rng 19,250000,2,16,8,28,50,225,50,9,255,13,255,255
Rng 20,250000,2,24,12,29,50,470,60,10,255,11,255,255
Rng 21,500000,2,24,12,40,50,600,100,11,255,12,255,255
Rng 22,500000,1,24,12,35,30,600,100,12,255,13,255,255
Rng 23,550000,0,24,14,35,20,600,100,15,255,15,255,255
Rng 24,600000,0,24,14,35,30,600,100,15,255,9,255,255
Rng 25+,775000,0,26,14,30,25,600,100,0,255,0,255,255
Thf 00,5,1,3,0,3,1,6,4,2,14,0,255,255
Thf 01,30,1,2,1,2,1,8,4,1,15,2,15,255
Thf 02,100,2,2,0,2,2,10,6,1,13,2,255,255
Thf 03,150,2,1,1,3,2,12,6,3,255,2,255,255
Thf 04,400,2,1,1,3,2,14,8,2,255,2,255,255
Thf 05,800,2,1,1,4,4,16,8,2,255,2,255,255
Thf 06,1250,2,2,2,4,4,18,10,1,255,2,255,255
Thf 07,2500,2,4,4,6,8,20,10,1,255,3,255,255
Thf 08,4000,2,3,2,6,8,22,12,3,255,3,255,255
Thf 09,6000,2,3,4,8,16,24,12,3,255,3,23,255
Thf 10,9000,2,3,4,12,20,30,14,3,255,4,20,255
Thf 11,15000,2,4,4,14,25,40,18,3,255,4,255,255
Thf 12,25000,2,5,4,16,25,50,25,4,12,5,17,255
Thf 13,50000,2,6,4,16,25,60,30,5,255,6,255,255
Thf 14,75000,1,6,4,18,40,70,35,5,255,7,255,255
Thf 15,100000,1,8,4,20,40,80,40,5,255,8,255,255
Thf 16,150000,1,8,4,24,40,100,45,6,255,9,255,255
Thf 17,150000,1,10,4,28,25,150,50,6,255,10,255,255
Thf 18,200000,1,15,6,30,25,200,55,6,255,10,255,255
Thf 19,200000,1,15,6,32,20,250,60,7,255,11,255,255
Thf 20,200000,1,20,10,34,20,300,65,10,255,11,255,255
Thf 21,250000,0,20,10,38,18,350,70,11,255,12,255,255
Thf 22,250000,0,24,10,38,18,400,70,12,255,12,255,255
Thf 23,500000,0,24,10,40,16,450,70,15,255,13,255,255
Thf 24,500000,0,24,10,40,14,500,80,15,255,0,255,255
Thf 25+,750000,0,23,15,35,14,550,80,0,255,0,255,255
Clr 00,5,1,1,0,4,2,5,3,0,18,1,20,255
Clr 01,25,1,1,1,4,2,7,3,1,255,3,17,255
Clr 02,50,1,1,1,8,4,9,5,1,255,3,255,255
Clr 03,200,1,1,1,12,6,11,5,1,17,4,255,255
